Temperature (K),Density (kg/m^3),Viscosity (kg/m*s)
233.15,1.5139922129325267,1.5061472222728699e-05
234.15,1.50752630555293,1.5114480940955243e-05
235.15,1.5011153920698217,1.516738901309824e-05
236.15,1.4947587738522914,1.5220196872861736e-05
237.15,1.4884557640532095,1.5272904951732547e-05
238.15,1.4822056873618248,1.532551367898287e-05
239.15,1.4760078797625698,1.5378023481673306e-05
240.15,1.4698616882998898,1.5430434784656174e-05
241.15,1.4637664708489264,1.548274801057927e-05
242.15,1.4577215958918794,1.553496357988991e-05
243.15,1.4517264422998915,1.5587081910839295e-05
244.15,1.445780399120289,1.563910341948721e-05
245.15,1.4398828653690334,1.5691028519707025e-05
246.15,1.434033249828229,1.574285762319092e-05
247.15,1.4282309708485479,1.5794591139455476e-05
248.15,1.422475456156432,1.5846229475847447e-05
249.15,1.4167661426659384,1.589777303754982e-05
250.15,1.4111024762950972,1.5949222227588097e-05
251.15,1.4054839117866558,1.6000577446836816e-05
252.15,1.3999099125330898,1.6051839094026276e-05
253.15,1.3943799504057617,1.6103007565749488e-05
254.15,1.3888935055881115,1.615408325646929e-05
255.15,1.3834500664127711,1.620506655852569e-05
256.15,1.378049129202493,1.625595786214335e-05
257.15,1.3726901981147914,1.630675755543929e-05
258.15,1.3673727849901942,1.6357466024430664e-05
259.15,1.3620964092040078,1.64080836530428e-05
260.15,1.3568605975215016,1.645861082311732e-05
261.15,1.3516648839564183,1.6509047914420394e-05
262.15,1.346508809632724,1.655939530465118e-05
263.15,1.3413919226495103,1.6609653369450302e-05
264.15,1.3363137779489633,1.6659822482408543e-05
265.15,1.3312739371873228,1.6709903015075566e-05
266.15,1.3262719686087492,1.67598953369688e-05
267.15,1.3213074469220236,1.6809799815582387e-05
268.15,1.3163799531800062,1.6859616816396224e-05
269.15,1.311489074661782,1.690934670288513e-05
270.15,1.3066344047574259,1.695898983652805e-05
271.15,1.3018155428553149,1.7008546576817346e-05
272.15,1.2970320942319258,1.705801728126818e-05
273.15,1.2922836699440552,1.7107402305427955e-05
274.15,1.2875698867233947,1.7156702002885777e-05
275.15,1.2828903668734095,1.7205916725282062e-05
276.15,1.278244738168454,1.7255046822318097e-05
277.15,1.2736326337550734,1.7304092641765728e-05
278.15,1.269053692055433,1.7353054529477045e-05
279.15,1.2645075566728234,1.7401932829394117e-05
280.15,1.259993876299192,1.7450727883558796e-05
281.15,1.255512304624644,1.7499440032122505e-05
282.15,1.2510625002488698,1.754806961335608e-05
283.15,1.2466441265944506,1.7596616963659654e-05
284.15,1.2422568518219905,1.764508241757253e-05
285.15,1.2379003487470406,1.7693466307783106e-05
286.15,1.233574294758758,1.7741768965138782e-05
287.15,1.2292783717402702,1.778999071865593e-05
288.15,1.2250122659906946,1.7838131895529828e-05
289.15,1.2207756681487762,1.78861928211446e-05
290.15,1.2165682731181067,1.793417381908323e-05
291.15,1.2123897799938816,1.7982075211137494e-05
292.15,1.208239891991164,1.802989731731796e-05
293.15,1.2041183163746156,1.8077640455863914e-05
294.15,1.2000247643896604,1.812530494325337e-05
295.15,1.1959589511950488,1.817289109421302e-05
296.15,1.1919205957967876,1.822039922172816e-05
297.15,1.1879094209834042,1.8267829637052657e-05
298.15,1.1839251532625141,1.831518264971888e-05
299.15,1.1799675227986584,1.836245856754761e-05
300.15,1.176036263352386,1.8409657696657928e-05
301.15,1.17213111222055,1.8456780341477126e-05
302.15,1.168251810177788,1.850382680475057e-05
303.15,1.1643981014191607,1.855079738755151e-05
304.15,1.1605697335039244,1.8597692389290974e-05
305.15,1.156766457300405,1.864451210772749e-05
306.15,1.152988026931957,1.8691256838976906e-05
307.15,1.149234199723974,1.8737926877522156e-05
308.15,1.1455047361519344,1.8784522516222945e-05
309.15,1.1417993997904532,1.883104404632549e-05
310.15,1.1381179572633198,1.8877491757472127e-05
311.15,1.1344601781944998,1.892386593771102e-05
312.15,1.1308258351600788,1.8970166873505705e-05
313.15,1.127214703641126,1.9016394849744693e-05
314.15,1.1236265619774586,1.9062550149751006e-05
315.15,1.1200611913222867,1.9108633055291687e-05
316.15,1.1165183755977182,1.9154643846587254e-05
317.15,1.112997901451107,1.9200582802321145e-05
318.15,1.1094995582122225,1.9246450199649114e-05
319.15,1.1060231378512255,1.9292246314208597e-05
320.15,1.1025684349374312,1.9337971420128024e-05
321.15,1.0991352465988435,1.9383625790036097e-05
322.15,1.0957233724824418,1.9429209695071067e-05
323.15,1.0923326147152053,1.947472340488988e-05
324.15,1.0889627778658604,1.9520167187677388e-05
325.15,1.0856136689073308,1.9565541310155452e-05
326.15,1.0822850971798823,1.9610846037592025e-05
327.15,1.07897687435494,1.9656081633810185e-05
328.15,1.075688814399569,1.9701248361197134e-05
329.15,1.072420733541603,1.9746346480713143e-05
330.15,1.0691724502354039,1.9791376251900466e-05
331.15,1.0659437851282458,1.98363379328922e-05
332.15,1.0627345610273027,1.988123178042111e-05
333.15,1.0595446028672328,1.9926058049828398e-05
334.15,1.056373737678344,1.997081699507244e-05
335.15,1.0532217945553293,2.0015508868737462e-05
336.15,1.0500886046265614,2.006013392204218e-05
337.15,1.0469740010239317,2.0104692404848412e-05
338.15,1.0438778188532267,2.0149184565669598e-05
339.15,1.0407998951650261,2.0193610651679326e-05
340.15,1.0377400689261167,2.0237970908719775e-05
341.15,1.0346981809914073,2.0282265581310118e-05
342.15,1.0316740740763366,2.03264949126549e-05
343.15,1.0286675927297642,2.0370659144652356e-05
344.15,1.025678583307333,2.0414758517902658e-05
345.15,1.0227068939452952,2.0458793271716147e-05
346.15,1.019752374534793,2.050276364412153e-05
347.15,1.0168148766965825,2.054666987187397e-05
348.15,1.013894253756193,2.059051219046319e-05
349.15,1.010990360719515,2.0634290834121505e-05
350.15,1.0081030542488036,2.06780060358318e-05
351.15,1.0052321926390961,2.072165802733548e-05
352.15,1.0023776357950265,2.076524703914035e-05
353.15,0.9995392452080379,2.080877330052846e-05
354.15,0.996716883933979,2.085223703956392e-05
355.15,0.9939104165710787,2.0895638483100628e-05
356.15,0.9911197092382945,2.093897785678997e-05
357.15,0.988344629554021,2.098225538508852e-05
358.15,0.9855850466151573,2.102547129126557e-05
359.15,0.9828408309765241,2.106862579741076e-05
360.15,0.9801118546306223,2.111171912444158e-05
361.15,0.9773979909877297,2.11547514921108e-05
362.15,0.9746991148563264,2.119772311901393e-05
363.15,0.972015102423843,2.1240634222596583e-05
364.15,0.9693458312377279,2.12834850191618e-05
365.15,0.9666911801868235,2.1326275723877316e-05
366.15,0.9640510294830495,2.136900655078282e-05
367.15,0.9614252606433844,2.141167771279714e-05
368.15,0.9588137564721406,2.1454289421725357e-05
369.15,0.9562164010435287,2.149684188826594e-05
370.15,0.9536330796845025,2.1539335322017767e-05
371.15,0.9510636789578839,2.158176993148715e-05
372.15,0.9485080866457574,2.162414592409477e-05
373.15,0.945966191733133,2.1666463506182612e-05
374.15,0.9434378843918713,2.170872288302084e-05
375.15,0.9409230559648637,2.1750924258814577e-05
376.15,0.9384215989504682,2.1793067836710742e-05
377.15,0.9359334069871897,2.1835153818804736e-05
378.15,0.9334583748386053,2.1877182406147167e-05
379.15,0.9309963983785273,2.1919153798750453e-05
380.15,0.9285473745764005,2.1961068195595477e-05
381.15,0.9261112014829296,2.2002925794638102e-05
382.15,0.9236877782159325,2.2044726792815687e-05
383.15,0.9212770049464142,2.208647138605358e-05
384.15,0.9188787828848591,2.2128159769271525e-05
385.15,0.9164930142677362,2.216979213639005e-05
386.15,0.914119602344215,2.221136868033681e-05
387.15,0.9117584513630856,2.2252889593052878e-05
388.15,0.909409466559883,2.2294355065499e-05
389.15,0.9070725541442082,2.2335765287661813e-05
390.15,0.904747621287245,2.2377120448560013e-05
391.15,0.9024345761094685,2.2418420736250494e-05
392.15,0.9001333276685416,2.2459666337834386e-05
393.15,0.8978437859473957,2.250085743946318e-05
394.15,0.895565861842493,2.254199422634465e-05
395.15,0.8932994671522678,2.258307688274889e-05
396.15,0.8910445145657417,2.2624105592014176e-05
397.15,0.8888009176513121,2.2665080536552878e-05
398.15,0.8865685908457078,2.2706001897857298e-05
399.15,0.8843474494431132,2.2746869856505458e-05
400.15,0.8821374095844524,2.2787684592166878e-05
401.15,0.8799383882468369,2.282844628360829e-05
402.15,0.8777503032331683,2.286915510869931e-05
403.15,0.8755730731618966,2.290981124441809e-05
404.15,0.8734066174569309,2.2950414866856938e-05
405.15,0.8712508563376987,2.299096615122785e-05
406.15,0.8691057108093527,2.3031465271868047e-05
407.15,0.8669711026531219,2.3071912402245482e-05
408.15,0.8648469544168041,2.3112307714964273e-05
409.15,0.8627331894053981,2.315265138177011e-05
410.15,0.8606297316718727,2.3192943573555645e-05
411.15,0.8585365060080715,2.323318446036582e-05
412.15,0.8564534379357481,2.3273374211403176e-05
413.15,0.8543804536977335,2.3313512995033082e-05
414.15,0.85231748024923,2.335360097878903e-05
415.15,0.8502644452492318,2.339363832937774e-05
416.15,0.8482212770520692,2.3433625212684393e-05
417.15,0.8461879046990737,2.3473561793777684e-05
418.15,0.8441642579103638,2.3513448236914962e-05
419.15,0.8421502670767473,2.3553284705547217e-05
420.15,0.8401458632517401,2.359307136232414e-05
421.15,0.8381509781436984,2.3632808369099086e-05
422.15,0.8361655441080625,2.3672495886933993e-05
423.15,0.8341894941397108,2.371213407610433e-05
424.15,0.8322227618654218,2.3751723096103912e-05
425.15,0.8302652815364427,2.3791263105649816e-05
426.15,0.8283169880211629,2.3830754262687095e-05
427.15,0.8263778167978897,2.3870196724393635e-05
428.15,0.8244477039477253,2.390959064718484e-05
429.15,0.8225265861475443,2.3948936186718343e-05
430.15,0.8206144006630678,2.3988233497898688e-05
431.15,0.8187110853420355,2.4027482734881977e-05
432.15,0.816816578607471,2.4066684051080445e-05
433.15,0.8149308194510414,2.410583759916706e-05
434.15,0.8130537474265084,2.414494353108006e-05
435.15,0.8111853026432693,2.4184001998027463e-05
436.15,0.8093254257599877,2.4223013150491518e-05
437.15,0.8074740579783108,2.4261977138233215e-05
438.15,0.8056311410366738,2.4300894110296615e-05
439.15,0.8037966172041868,2.433976421501333e-05
440.15,0.8019704292746078,2.4378587600006784e-05
441.15,0.8001525205603958,2.441736441219661e-05
442.15,0.7983428348868452,2.4456094797802892e-05
443.15,0.7965413165862995,2.4494778902350448e-05
444.15,0.7947479104924432,2.4533416870673083e-05
445.15,0.7929625619346706,2.4572008846917744e-05
446.15,0.7911852167325307,2.461055497454875e-05
447.15,0.7894158211902462,2.4649055396351884e-05
448.15,0.7876543220913056,2.468751025443855e-05
449.15,0.7859006666931284,2.4725919690249837e-05
450.15,0.7841548027218007,2.4764283844560563e-05
451.15,0.7824166783668816,2.480260285748334e-05
452.15,0.7806862422762769,2.4840876868472573e-05
453.15,0.7789634435511831,2.4879106016328393e-05
454.15,0.7772482317410957,2.4917290439200632e-05
455.15,0.7755405568388852,2.4955430274592744e-05
456.15,0.7738403692759369,2.499352565936568e-05
457.15,0.7721476199173545,2.5031576729741768e-05
458.15,0.7704622600572272,2.5069583621308528e-05
459.15,0.7687842414139575,2.5107546469022518e-05
460.15,0.7671135161256517,2.5145465407213047e-05
461.15,0.7654500367455678,2.5183340569586007e-05
462.15,0.7637937562376255,2.5221172089227564e-05
463.15,0.7621446279719716,2.5258960098607883e-05
464.15,0.7605026057206045,2.529670472958476e-05
465.15,0.7588676436530551,2.5334406113407343e-05
466.15,0.7572396963321217,2.5372064380719696e-05
467.15,0.755618718709662,2.540967966156443e-05
468.15,0.7540046661224364,2.544725208538629e-05
469.15,0.7523974942880072,2.5484781781035682e-05
470.15,0.7507971593006884,2.5522268876772213e-05
471.15,0.7492036176275466,2.555971350026819e-05
472.15,0.7476168261044553,2.5597115778612103e-05
473.15,0.7460367419321962,2.5634475838312064e-05
474.15,0.7444633226726112,2.5671793805299263e-05
475.15,0.742896526244804,2.570906980493134e-05
476.15,0.7413363109213873,2.57463039619958e-05
477.15,0.7397826353247796,2.578349640071334e-05
478.15,0.7382354584235462,2.5820647244741222e-05
479.15,0.7366947395287876,2.5857756617176552e-05
480.15,0.735160438290573,2.589482464055958e-05
481.15,0.7336325146944166,2.593185143687697e-05
482.15,0.7321109290578007,2.596883712756505e-05
483.15,0.7305956420267383,2.600578183351302e-05
484.15,0.7290866145723817,2.604268567506616e-05
485.15,0.7275838079876711,2.6079548772028994e-05
486.15,0.7260871838840246,2.611637124366846e-05
487.15,0.7245967041880707,2.615315320871705e-05
488.15,0.7231123311384178,2.6189894785375896e-05
489.15,0.7216340272824667,2.622659609131788e-05
490.15,0.7201617554732604,2.6263257243690707e-05
491.15,0.718695478866372,2.6299878359119918e-05
492.15,0.7172351609168315,2.6336459553711982e-05
493.15,0.7157807653760897,2.6373000943057227e-05
494.15,0.7143322562890186,2.640950264223287e-05
495.15,0.7128895979909494,2.644596476580599e-05
496.15,0.7114527551047437,2.6482387427836427e-05
497.15,0.7100216925379033,2.6518770741879765e-05
498.15,0.7085963754797122,2.65551148209902e-05
499.15,0.7071767693984145,2.6591419777723395e-05
500.15,0.7057628400384257,2.662768572413945e-05
501.15,0.7043545534175767,2.6663912771805607e-05
502.15,0.7029518758243923,2.670010103179919e-05
503.15,0.7015547738154002,2.673625061471035e-05
504.15,0.7001632142124736,2.6772361630644874e-05
505.15,0.6987771641002051,2.6808434189226963e-05
506.15,0.6973965908233104,2.6844468399601944e-05
507.15,0.6960214619840651,2.688046437043904e-05
508.15,0.694651745439769,2.6916422209934062e-05
509.15,0.6932874093002427,2.695234202581211e-05
510.15,0.6919284219253525,2.6988223925330247e-05
511.15,0.690574751922564,2.702406801528014e-05
512.15,0.6892263681445252,2.7059874401990714e-05
513.15,0.6878832396866776,2.7095643191330793e-05
514.15,0.6865453358848946,2.7131374488711686e-05
515.15,0.6852126263131488,2.7167068399089736e-05
516.15,0.6838850807812042,2.720272502696895e-05
517.15,0.682562669332338,2.7238344476403514e-05
518.15,0.6812453622410859,2.7273926851000335e-05
519.15,0.6799331300110153,2.7309472253921562e-05
520.15,0.6786259433725245,2.7344980787887068e-05
521.15,0.6773237732806651,2.738045255517696e-05
522.15,0.6760265909129917,2.741588765763402e-05
523.15,0.674734367667435,2.7451286196666188e-05
524.15,0.6734470751601995,2.748664827324894e-05
525.15,0.6721646852236858,2.752197398792776e-05
526.15,0.6708871699044352,2.7557263440820506e-05
527.15,0.6696145014610995,2.7592516731619827e-05
528.15,0.6683466523624323,2.7627733959595474e-05
529.15,0.6670835952853039,2.766291522359672e-05
530.15,0.665825303112739,2.7698060622054646e-05
531.15,0.6645717489319751,2.7733170252984515e-05
532.15,0.6633229060325446,2.7768244213987997e-05
533.15,0.662078747904377,2.7803282602255546e-05
534.15,0.6608392482359235,2.783828551456862e-05
535.15,0.6596043809123023,2.787325304730195e-05
536.15,0.6583741200134637,2.7908185296425804e-05
537.15,0.6571484398123776,2.794308235750821e-05
538.15,0.6559273147732391,2.797794432571715e-05
539.15,0.654710719549696,2.801277129582279e-05
540.15,0.6534986289830947,2.804756336219963e-05
541.15,0.6522910181007457,2.8082320618828717e-05
542.15,0.6510878621142093,2.811704315929979e-05
543.15,0.6498891364175985,2.8151731076813384e-05
544.15,0.648694816585902,2.8186384464183028e-05
545.15,0.6475048783733259,2.8221003413837284e-05
546.15,0.6463192977116516,2.8255588017821903e-05
547.15,0.6451380507086149,2.82901383678019e-05
548.15,0.6439611136462987,2.8324654555063598e-05
549.15,0.6427884629795476,2.8359136670516732e-05
550.15,0.6416200753343972,2.8393584804696453e-05
551.15,0.6404559275065201,2.8427999047765398e-05
552.15,0.6392959964596914,2.8462379489515664e-05
553.15,0.6381402593242677,2.849672621937087e-05
554.15,0.6369886933956845,2.85310393263881e-05
555.15,0.6358412761329706,2.8565318899259903e-05
556.15,0.6346979851572752,2.8599565026316254e-05
557.15,0.6335587982504148,2.863377779552654e-05
558.15,0.632423693353433,2.8667957294501446e-05
559.15,0.6312926485651768,2.87021036104949e-05
560.15,0.6301656421408883,2.873621683040604e-05
561.15,0.6290426524908109,2.8770297040781048e-05
562.15,0.627923658178811,2.880434432781506e-05
