Temperature (K),Pressure (MPa),Density (kg/m3),Viscosity (Pa*s),Surf. Tension (N/m)
63.151,0.01252,867.22,0.00031159,0.012205
63.651,0.013715,865.17,0.00030318,0.012085
64.151,0.015,863.11,0.00029509,0.011964
64.651,0.016381,861.04,0.00028732,0.011844
65.151,0.017863,858.97,0.00027984,0.011725
65.651,0.01945,856.89,0.00027265,0.011605
66.151,0.021147,854.81,0.00026572,0.011486
66.651,0.022962,852.71,0.00025906,0.011367
67.151,0.024898,850.61,0.00025264,0.011248
67.651,0.026962,848.51,0.00024645,0.011129
68.151,0.029159,846.39,0.00024049,0.011011
68.651,0.031496,844.27,0.00023474,0.010893
69.151,0.033978,842.14,0.0002292,0.010775
69.651,0.036613,840.01,0.00022385,0.010658
70.151,0.039405,837.87,0.00021868,0.01054
70.651,0.042362,835.72,0.0002137,0.010423
71.151,0.04549,833.56,0.00020888,0.010306
71.651,0.048796,831.39,0.00020423,0.01019
72.151,0.052287,829.22,0.00019973,0.010074
72.651,0.055969,827.04,0.00019538,0.0099576
73.151,0.05985,824.85,0.00019117,0.0098419
73.651,0.063936,822.65,0.0001871,0.0097264
74.151,0.068235,820.44,0.00018316,0.0096112
74.651,0.072754,818.22,0.00017934,0.0094963
75.151,0.0775,816,0.00017565,0.0093817
75.651,0.082482,813.77,0.00017206,0.0092673
76.151,0.087706,811.52,0.00016859,0.0091532
76.651,0.093179,809.27,0.00016523,0.0090394
77.151,0.098911,807.01,0.00016196,0.0089259
77.651,0.10491,804.74,0.0001588,0.0088126
78.151,0.11118,802.46,0.00015572,0.0086996
78.651,0.11773,800.17,0.00015274,0.008587
79.151,0.12457,797.87,0.00014984,0.0084746
79.651,0.13171,795.56,0.00014703,0.0083625
80.151,0.13915,793.23,0.00014429,0.0082507
80.651,0.14691,790.9,0.00014163,0.0081392
81.151,0.15499,788.56,0.00013905,0.008028
81.651,0.1634,786.21,0.00013653,0.0079171
82.151,0.17215,783.84,0.00013408,0.0078065
82.651,0.18124,781.46,0.0001317,0.0076963
83.151,0.19069,779.07,0.00012938,0.0075863
83.651,0.2005,776.67,0.00012712,0.0074767
84.151,0.21069,774.26,0.00012492,0.0073673
84.651,0.22126,771.84,0.00012277,0.0072583
85.151,0.23221,769.4,0.00012068,0.0071496
85.651,0.24357,766.95,0.00011864,0.0070412
86.151,0.25533,764.48,0.00011665,0.0069332
86.651,0.26751,762,0.00011471,0.0068255
87.151,0.28011,759.51,0.00011281,0.0067181
87.651,0.29315,757,0.00011096,0.0066111
88.151,0.30663,754.48,0.00010915,0.0065044
88.651,0.32056,751.94,0.00010739,0.006398
89.151,0.33495,749.39,0.00010566,0.006292
89.651,0.3498,746.82,0.00010397,0.0061864
90.151,0.36514,744.24,0.00010232,0.0060811
90.651,0.38096,741.64,0.00010071,0.0059762
91.151,0.39728,739.02,9.91E-05,0.0058716
91.651,0.41411,736.39,9.76E-05,0.0057674
92.151,0.43145,733.74,9.61E-05,0.0056635
92.651,0.44931,731.07,9.46E-05,0.0055601
93.151,0.46771,728.38,9.31E-05,0.005457
93.651,0.48665,725.67,9.17E-05,0.0053543
94.151,0.50614,722.94,9.03E-05,0.005252
94.651,0.52619,720.19,8.89E-05,0.0051501
95.151,0.54681,717.42,8.76E-05,0.0050485
95.651,0.56801,714.63,8.63E-05,0.0049474
96.151,0.5898,711.82,8.50E-05,0.0048467
96.651,0.61219,708.99,8.37E-05,0.0047464
97.151,0.63518,706.13,8.25E-05,0.0046465
97.651,0.6588,703.24,8.12E-05,0.004547
98.151,0.68303,700.34,8.00E-05,0.004448
98.651,0.70791,697.4,7.89E-05,0.0043494
99.151,0.73343,694.44,7.77E-05,0.0042512
99.651,0.75961,691.45,7.65E-05,0.0041535
100.15,0.78645,688.44,7.54E-05,0.0040562
100.65,0.81397,685.39,7.43E-05,0.0039594
101.15,0.84217,682.32,7.32E-05,0.0038631
101.65,0.87107,679.21,7.21E-05,0.0037672
102.15,0.90068,676.07,7.11E-05,0.0036718
102.65,0.931,672.9,7.00E-05,0.0035769
103.15,0.96204,669.7,6.90E-05,0.0034825
103.65,0.99382,666.45,6.80E-05,0.0033886
104.15,1.0263,663.17,6.70E-05,0.0032952
104.65,1.0596,659.86,6.60E-05,0.0032023
105.15,1.0937,656.5,6.50E-05,0.00311
105.65,1.1285,653.1,6.40E-05,0.0030181
106.15,1.1641,649.65,6.31E-05,0.0029269
106.65,1.2005,646.16,6.21E-05,0.0028362
107.15,1.2377,642.63,6.12E-05,0.002746
107.65,1.2758,639.04,6.03E-05,0.0026565
108.15,1.3147,635.4,5.93E-05,0.0025675
108.65,1.3544,631.71,5.84E-05,0.0024792
109.15,1.3949,627.96,5.75E-05,0.0023914
109.65,1.4364,624.15,5.66E-05,0.0023043
110.15,1.4787,620.28,5.57E-05,0.0022178
110.65,1.5219,616.34,5.48E-05,0.002132
111.15,1.566,612.33,5.40E-05,0.0020469
111.65,1.611,608.26,5.31E-05,0.0019625
112.15,1.6569,604.1,5.22E-05,0.0018788
112.65,1.7038,599.86,5.13E-05,0.0017958
113.15,1.7517,595.54,5.05E-05,0.0017135
113.65,1.8005,591.12,4.96E-05,0.0016321
114.15,1.8502,586.61,4.88E-05,0.0015514
114.65,1.901,581.99,4.79E-05,0.0014715
115.15,1.9528,577.26,4.70E-05,0.0013925
115.65,2.0056,572.42,4.62E-05,0.0013144
116.15,2.0594,567.44,4.53E-05,0.0012372
116.65,2.1143,562.32,4.44E-05,0.0011609
