Temperature (K),Pressure (MPa),Density (kg/m3),Viscosity (Pa*s),Surf. Tension (N/m)
273.16,0.00061165,999.79,0.0017914,0.075646
274.16,0.00065756,999.85,0.0017306,0.075506
275.16,0.00070649,999.89,0.0016731,0.075366
276.16,0.00075862,999.92,0.0016187,0.075224
277.16,0.00081412,999.93,0.0015669,0.075083
278.16,0.00087318,999.92,0.0015178,0.07494
279.16,0.000936,999.89,0.0014712,0.074797
280.16,0.0010028,999.86,0.0014267,0.074654
281.16,0.0010737,999.8,0.0013844,0.07451
282.16,0.0011491,999.73,0.0013441,0.074365
283.16,0.001229,999.65,0.0013056,0.07422
284.16,0.0013138,999.56,0.0012689,0.074074
285.16,0.0014038,999.45,0.0012338,0.073927
286.16,0.0014991,999.33,0.0012002,0.07378
287.16,0.0016,999.2,0.0011681,0.073633
288.16,0.0017069,999.05,0.0011373,0.073484
289.16,0.00182,998.9,0.0011078,0.073336
290.16,0.0019396,998.73,0.0010796,0.073186
291.16,0.002066,998.55,0.0010524,0.073036
292.16,0.0021996,998.36,0.0010264,0.072886
293.16,0.0023408,998.16,0.0010014,0.072735
294.16,0.0024897,997.95,0.00097733,0.072583
295.16,0.002647,997.73,0.00095419,0.072431
296.16,0.0028128,997.49,0.00093193,0.072278
297.16,0.0029876,997.25,0.00091049,0.072125
298.16,0.0031718,997,0.00088983,0.071971
299.16,0.0033659,996.74,0.00086992,0.071816
300.16,0.0035702,996.47,0.00085073,0.071661
301.16,0.0037853,996.19,0.0008322,0.071505
302.16,0.0040115,995.9,0.00081432,0.071349
303.16,0.0042494,995.6,0.00079705,0.071193
304.16,0.0044995,995.3,0.00078037,0.071035
305.16,0.0047623,994.98,0.00076425,0.070877
306.16,0.0050383,994.66,0.00074865,0.070719
307.16,0.005328,994.33,0.00073357,0.07056
308.16,0.0056321,993.99,0.00071898,0.070401
309.16,0.0059512,993.64,0.00070485,0.07024
310.16,0.0062857,993.28,0.00069116,0.07008
311.16,0.0066364,992.92,0.0006779,0.069919
312.16,0.0070039,992.55,0.00066505,0.069757
313.16,0.0073889,992.17,0.00065259,0.069595
314.16,0.007792,991.79,0.00064051,0.069432
315.16,0.0082139,991.39,0.00062879,0.069269
316.16,0.0086553,990.99,0.00061742,0.069105
317.16,0.0091171,990.58,0.00060637,0.06894
318.16,0.0095999,990.17,0.00059565,0.068775
319.16,0.010105,989.75,0.00058523,0.06861
320.16,0.010632,989.32,0.00057511,0.068444
321.16,0.011183,988.88,0.00056527,0.068277
322.16,0.011758,988.44,0.00055571,0.06811
323.16,0.012358,987.99,0.00054641,0.067942
